query_id,real_time(s),user_time(s),sys_time(s)
1,0.131,0.46228,0.047349
2,0.026,0.057497,0.017453
3,0.083,0.236893,0.0647
4,0.072,0.215739,0.047119
5,0.087,0.228531,0.078859
6,0.04,0.106362,0.047286
7,0.092,0.246425,0.081811
8,0.087,0.213414,0.089174
9,0.231,0.698012,0.158306
10,0.171,0.424041,0.098774
11,0.019,0.05459,0.012929
12,0.067,0.197791,0.056674
13,0.172,0.555372,0.073094
14,0.066,0.147506,0.057774
15,0.071,0.224466,0.051876
16,0.05,0.120011,0.035685
17,0.071,0.210195,0.052328
18,0.187,0.619689,0.090476
19,0.117,0.295367,0.09049
20,0.082,0.2432,0.05454
21,0.205,0.651738,0.068798
22,0.045,0.086826,0.010188
