query_id,real_time(s),user_time(s),sys_time(s)
1,1.271,4.496678,0.436773
2,0.165,0.44948,0.06987
3,0.983,3.163145,0.577314
4,0.843,2.778405,0.410698
5,0.985,3.217225,0.552845
6,0.377,0.997061,0.459798
7,1.092,3.452418,0.708268
8,1.054,3.301382,0.734034
9,2.798,9.181022,1.405486
10,1.454,4.688661,0.81769
11,0.148,0.491897,0.067879
12,0.684,2.154868,0.469573
13,2.173,7.790783,0.540008
14,0.602,1.612304,0.6421
15,0.821,2.595173,0.577442
16,0.374,1.266626,0.143611
17,1.235,4.314336,0.481591
18,1.864,6.492907,0.669706
19,1.086,3.407395,0.748738
20,0.707,2.07016,0.639235
21,2.36,8.11217,0.750633
22,0.405,1.450705,0.084765
