query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,133,65.75,,,,
query 2,4106,99.25,7.0,3.32,4.12,26.62
query 3,12,42.75,0.0,3.03,4.12,25.85
query 6,71,54.27,0.0,3.04,4.12,25.63
query 7,148,55.78,4.0,3.05,4.12,25.63
query 9,104,57.04,0.0,3.1,4.12,25.63
query 13,29,43.86,0.0,3.1,4.12,25.61
query 17,90,43.47,0.0,3.08,4.12,25.63
query 24,668,43.18,1.0,3.11,4.12,26.4
query 25,49,44.22,0.0,3.05,4.12,25.74
query 26,129,43.32,15.0,3.06,4.12,27.74
query 29,54,47.74,0.0,3.07,4.12,29.15
query 30,103,47.75,15.0,3.07,4.12,25.73
query 33,100,46.98,0.0,3.07,4.12,25.73
query 34,39,58.94,6.0,3.1,4.12,28.46
query 41,86,51.01,0.0,3.07,4.12,25.63
query 42,17,50.75,0.0,3.05,4.12,25.61
query 43,18,50.75,3.0,3.04,4.12,25.74
query 44,159,44.3,0.0,3.06,4.12,26.81
query 46,59,44.19,6.0,3.02,4.12,25.63
query 48,21,45.25,1.0,3.02,4.12,25.73
query 50,67,45.36,0.0,3.02,4.12,25.73
query 52,12,50.38,6.0,3.0,4.12,25.7
query 53,70,67.0,0.0,3.02,4.12,27.09
query 54,2358,99.25,5.0,3.18,4.12,26.22
query 55,11,44.08,0.0,3.2,4.12,27.13
query 56,251,44.36,1.0,3.03,4.12,26.89
query 58,186,44.22,0.0,3.09,4.12,25.63
query 59,154,44.08,6.0,3.16,4.12,26.12
query 60,241,44.11,3.0,3.17,4.12,26.02
query 61,43,43.47,12.0,3.23,4.12,26.02
query 62,19,45.11,0.0,3.24,4.12,25.63
query 63,69,45.59,1.0,3.21,4.12,25.73
query 64,168,47.85,2.0,3.21,4.12,26.1
query 65,99,46.12,15.0,3.19,4.12,34.2
query 68,39,57.0,0.0,3.15,4.12,25.81
query 71,188,52.39,1.0,3.07,4.12,25.63
query 73,33,43.97,0.0,3.05,4.12,25.63
query 78,5567,100.0,31.0,3.61,4.12,32.18
query 79,66,47.25,25.0,3.1,4.12,25.95
query 81,122,47.1,0.0,3.11,4.12,25.73
query 83,182,43.94,0.0,3.09,4.12,25.73
query 89,80,43.22,6.0,3.12,4.12,29.7
query 91,22,42.61,2.0,3.12,4.12,25.63
query 93,18,43.47,2.0,3.11,4.12,25.63
query 96,11,43.61,0.0,3.09,4.12,25.63
query 99, 18,24.56,0.0,3.09,4.12,25.63
